,ko,ec
483,ko:K00555,ec:2.1.1.215
484,ko:K00555,ec:2.1.1.216
485,ko:K00556,ec:2.1.1.34
486,ko:K00557,ec:2.1.1.35
487,ko:K00558,ec:2.1.1.37
488,ko:K00559,ec:2.1.1.41
489,ko:K00560,ec:2.1.1.45
490,ko:K00561,ec:2.1.1.184
491,ko:K00562,ec:2.1.1.49
492,ko:K00562,ec:2.1.1.96
493,ko:K00563,ec:2.1.1.187
494,ko:K00564,ec:2.1.1.172
495,ko:K00565,ec:2.1.1.56
496,ko:K00566,ec:2.8.1.13
497,ko:K00567,ec:2.1.1.63
498,ko:K00568,ec:2.1.1.222
499,ko:K00568,ec:2.1.1.64
500,ko:K00569,ec:2.1.1.67
501,ko:K00570,ec:2.1.1.17
502,ko:K00570,ec:2.1.1.71
503,ko:K00571,ec:2.1.1.72
504,ko:K00573,ec:2.1.1.77
505,ko:K00574,ec:2.1.1.79
506,ko:K00575,ec:2.1.1.80
507,ko:K00577,ec:2.1.1.86
508,ko:K00578,ec:2.1.1.86
509,ko:K00579,ec:2.1.1.86
510,ko:K00580,ec:2.1.1.86
511,ko:K00581,ec:2.1.1.86
512,ko:K00582,ec:2.1.1.86
513,ko:K00583,ec:2.1.1.86
514,ko:K00584,ec:2.1.1.86
515,ko:K00586,ec:2.1.1.314
516,ko:K00587,ec:2.1.1.100
517,ko:K00588,ec:2.1.1.104
518,ko:K00589,ec:2.1.1.107
519,ko:K00590,ec:2.1.1.113
520,ko:K00591,ec:2.1.1.114
521,ko:K00591,ec:2.1.1.64
522,ko:K00592,ec:2.1.1.127
523,ko:K00592,ec:2.1.1.259
524,ko:K00594,ec:1.1.3.41
525,ko:K00595,ec:2.1.1.132
526,ko:K00595,ec:2.1.1.289
527,ko:K00595,ec:2.1.1.196
528,ko:K00596,ec:4.1.1.64
529,ko:K00597,ec:1.16.1.8
530,ko:K00598,ec:2.1.1.144
531,ko:K00600,ec:2.1.2.1
532,ko:K00601,ec:2.1.2.2
533,ko:K00602,ec:2.1.2.3
534,ko:K00602,ec:3.5.4.10
535,ko:K00603,ec:2.1.2.5
536,ko:K00603,ec:6.3.3.2
537,ko:K00604,ec:2.1.2.9
538,ko:K00605,ec:2.1.2.10
539,ko:K00606,ec:2.1.2.11
540,ko:K00607,ec:2.1.2.14
541,ko:K00608,ec:2.1.3.2
542,ko:K00609,ec:2.1.3.2
543,ko:K00611,ec:2.1.3.3
544,ko:K00613,ec:2.1.4.1
545,ko:K00615,ec:2.2.1.1
546,ko:K00616,ec:2.2.1.2
547,ko:K00617,ec:2.2.1.14
548,ko:K00618,ec:2.3.1.1
549,ko:K00619,ec:2.3.1.1
550,ko:K00620,ec:2.3.1.35
551,ko:K00620,ec:2.3.1.1
552,ko:K00621,ec:2.3.1.4
553,ko:K00622,ec:2.3.1.5
554,ko:K00623,ec:2.3.1.6
555,ko:K00624,ec:2.3.1.7
556,ko:K00625,ec:2.3.1.8
557,ko:K00626,ec:2.3.1.9
558,ko:K00627,ec:2.3.1.12
559,ko:K00628,ec:2.3.1.13
560,ko:K00628,ec:2.3.1.71
561,ko:K00629,ec:2.3.1.15
562,ko:K00630,ec:2.3.1.15
563,ko:K00631,ec:2.3.1.15
564,ko:K00632,ec:2.3.1.16
565,ko:K00633,ec:2.3.1.18
566,ko:K00634,ec:2.3.1.19
567,ko:K00635,ec:2.3.1.20
568,ko:K00635,ec:2.3.1.75
569,ko:K00637,ec:2.3.1.26
570,ko:K00638,ec:2.3.1.28
571,ko:K00639,ec:2.3.1.29
572,ko:K00640,ec:2.3.1.30
573,ko:K00641,ec:2.3.1.31
574,ko:K00641,ec:2.3.1.46
575,ko:K00643,ec:2.3.1.37
576,ko:K00645,ec:2.3.1.39
577,ko:K00647,ec:2.3.1.41
578,ko:K00648,ec:2.3.1.180
579,ko:K00649,ec:2.3.1.42
580,ko:K00650,ec:2.3.1.43
581,ko:K00651,ec:2.3.1.46
582,ko:K00651,ec:2.3.1.31
583,ko:K00652,ec:2.3.1.47
584,ko:K00653,ec:2.3.1.48
585,ko:K00654,ec:2.3.1.50
586,ko:K00655,ec:2.3.1.51
587,ko:K00656,ec:2.3.1.54
588,ko:K00657,ec:2.3.1.57
589,ko:K00658,ec:2.3.1.61
590,ko:K00659,ec:2.3.1.65
591,ko:K00659,ec:3.1.2.2
592,ko:K00660,ec:2.3.1.74
593,ko:K00661,ec:2.3.1.79
594,ko:K00662,ec:2.3.1.81
595,ko:K00663,ec:2.3.1.82
596,ko:K00664,ec:2.3.1.84
597,ko:K00665,ec:2.3.1.85
598,ko:K00667,ec:2.3.1.86
599,ko:K00668,ec:2.3.1.86
600,ko:K00669,ec:2.3.1.87
601,ko:K00670,ec:2.3.1.256
602,ko:K00671,ec:2.3.1.97
603,ko:K00672,ec:2.3.1.101
604,ko:K00673,ec:2.3.1.109
605,ko:K00674,ec:2.3.1.117
606,ko:K00675,ec:2.3.1.118
607,ko:K00677,ec:2.3.1.129
608,ko:K00678,ec:2.3.1.135
609,ko:K00679,ec:2.3.1.158
610,ko:K00681,ec:2.3.2.2
611,ko:K00681,ec:3.4.19.13
612,ko:K00682,ec:4.3.2.9
613,ko:K00683,ec:2.3.2.5
614,ko:K00684,ec:2.3.2.6
615,ko:K00685,ec:2.3.2.8
616,ko:K00686,ec:2.3.2.13
617,ko:K00688,ec:2.4.1.1
618,ko:K00689,ec:2.4.1.5
619,ko:K00690,ec:2.4.1.7
620,ko:K00691,ec:2.4.1.8
621,ko:K00692,ec:2.4.1.10
622,ko:K00693,ec:2.4.1.11
623,ko:K00694,ec:2.4.1.12
624,ko:K00695,ec:2.4.1.13
625,ko:K00696,ec:2.4.1.14
626,ko:K00697,ec:2.4.1.15
627,ko:K00697,ec:2.4.1.347
628,ko:K00698,ec:2.4.1.16
629,ko:K00699,ec:2.4.1.17
630,ko:K00700,ec:2.4.1.18
631,ko:K00701,ec:2.4.1.19
632,ko:K00702,ec:2.4.1.20
633,ko:K00703,ec:2.4.1.21
634,ko:K00704,ec:2.4.1.22
635,ko:K00705,ec:2.4.1.25
636,ko:K00706,ec:2.4.1.34
637,ko:K00709,ec:2.4.1.40
638,ko:K00709,ec:2.4.1.37
639,ko:K00710,ec:2.4.1.41
640,ko:K00712,ec:2.4.1.52
641,ko:K00715,ec:2.4.1.62
642,ko:K00716,ec:2.4.1.65
643,ko:K00717,ec:2.4.1.68
644,ko:K00718,ec:2.4.1.69
645,ko:K00719,ec:2.4.1.79
646,ko:K00720,ec:2.4.1.80
647,ko:K00721,ec:2.4.1.83
648,ko:K00722,ec:2.4.1.88
649,ko:K00725,ec:2.4.1.92
650,ko:K00726,ec:2.4.1.101
651,ko:K00727,ec:2.4.1.102
652,ko:K00728,ec:2.4.1.109
653,ko:K00729,ec:2.4.1.117
654,ko:K00731,ec:2.4.1.122
655,ko:K00733,ec:2.4.1.133
